time group
47.2 1
22 1
20.4 1
19.7 1
17.4 1
14.7 1
13.4 1
13 1
12.3 1
12.2 1
10.3 1
9.7 1
9.7 1
9.5 1
9.1 1
8.9 1
8.9 1
8.4 1
8.1 1
7.9 1
7.8 1
6.9 1
6.3 1
6.1 1
5.6 1
4.7 1
4.7 1
4.3 1
4.2 1
3.9 1
3.4 1
3.1 1
3.1 1
2.7 1
2.4 1
2.3 1
2.3 1
2.1 1
2.1 1
2 1
1.9 1
1.7 1
1.7 1
19.7 2
16.2 2
15.9 2
15.4 2
9.7 2
8.9 2
8.6 2
8.6 2
7.4 2
6.3 2
6.1 2
6 2
6 2
5.9 2
4.9 2
4.6 2
3.8 2
3.6 2
3.5 2
3.3 2
3.3 2
2.9 2
2.8 2
2.7 2
2.4 2
2.3 2
2 2
1.8 2
1.7 2
1.7 2
1.6 2
1.4 2
1.2 2
1.1 2
1 2
