gene	cog_category
Pk_ctg1_1	S
Pk_ctg1_2	E
Pk_ctg1_3	E
Pk_ctg1_4	P
Pk_ctg1_5	S
Pk_ctg1_6	O
Pk_ctg1_7	S
Pk_ctg1_8	P
Pk_ctg1_9	C
Pk_ctg1_10	P
Pk_ctg1_11	P
Pk_ctg1_12	H
Pk_ctg1_13	K
Pk_ctg1_14	E
Pk_ctg1_15	S
Pk_ctg1_16	E
Pk_ctg1_17	E
Pk_ctg1_18	P
Pk_ctg1_19	E
Pk_ctg1_20	P
Pk_ctg1_21	P
Pk_ctg1_22	E
Pk_ctg1_23	S
Pk_ctg1_24	K
Pk_ctg1_25	S
Pk_ctg1_26	CO
Pk_ctg1_27	I
Pk_ctg1_28	S
Pk_ctg1_29	O
Pk_ctg1_30	S
Pk_ctg1_31	ET
Pk_ctg1_32	S
Pk_ctg1_33	EH
Pk_ctg1_34	C
Pk_ctg1_35	Q
Pk_ctg1_36	S
Pk_ctg1_37	S
Pk_ctg1_38	G
Pk_ctg1_39	E
Pk_ctg1_40	S
Pk_ctg1_41	E
Pk_ctg1_42	L
Pk_ctg1_43	T
Pk_ctg1_44	S
Pk_ctg1_45	S
Pk_ctg1_46	M
Pk_ctg1_47	F
Pk_ctg1_48	K
Pk_ctg1_49	P
Pk_ctg1_50	K
Pk_ctg1_51	P
Pk_ctg1_52	P
Pk_ctg1_53	P
Pk_ctg1_54	E
Pk_ctg1_55	S
Pk_ctg1_56	S
Pk_ctg1_57	S
Pk_ctg1_58	H
Pk_ctg1_59	U
Pk_ctg1_60	E
Pk_ctg1_61	EG
Pk_ctg1_62	EGP
Pk_ctg1_63	S
Pk_ctg1_64	C
Pk_ctg1_65	J
Pk_ctg1_66	S
Pk_ctg1_67	T
Pk_ctg1_68	L
Pk_ctg1_69	S
Pk_ctg1_70	C
Pk_ctg1_71	H
Pk_ctg1_72	E
Pk_ctg1_73	S
Pk_ctg1_74	C
Pk_ctg1_75	K
Pk_ctg1_76	P
Pk_ctg1_77	K
Pk_ctg1_78	S
Pk_ctg1_79	L
Pk_ctg1_80	S
Pk_ctg1_81	S
Pk_ctg1_82	D
Pk_ctg1_83	D
Pk_ctg1_84	D
Pk_ctg1_85	K
Pk_ctg1_86	M
Pk_ctg1_87	S
Pk_ctg1_88	H
Pk_ctg1_89	H
Pk_ctg1_90	J
Pk_ctg1_91	J
Pk_ctg1_92	S
Pk_ctg1_93	H
Pk_ctg1_94	F
Pk_ctg1_95	M
Pk_ctg1_96	Q
Pk_ctg1_97	E
Pk_ctg1_98	No_COG
Pk_ctg1_99	No_COG
Pk_ctg1_100	S
Pk_ctg1_101	S
Pk_ctg1_102	E
Pk_ctg1_103	E
Pk_ctg1_104	NU
Pk_ctg1_105	M
Pk_ctg1_106	S
Pk_ctg1_107	F
Pk_ctg1_108	F
Pk_ctg1_109	F
Pk_ctg1_110	J
Pk_ctg1_111	K
Pk_ctg1_112	M
Pk_ctg1_113	H
Pk_ctg1_114	KT
Pk_ctg1_115	KT
Pk_ctg1_116	NT
Pk_ctg1_117	NT
Pk_ctg1_118	T
Pk_ctg1_119	NT
Pk_ctg1_120	No_COG
Pk_ctg1_121	I
Pk_ctg1_122	F
Pk_ctg1_123	C
Pk_ctg1_124	I
Pk_ctg1_125	I
Pk_ctg1_126	H
Pk_ctg1_127	I
Pk_ctg1_128	S
Pk_ctg1_129	S
Pk_ctg1_130	K
Pk_ctg1_131	S
Pk_ctg1_132	J
Pk_ctg1_133	H
Pk_ctg1_134	E
Pk_ctg1_135	O
Pk_ctg1_136	C
Pk_ctg1_137	S
Pk_ctg1_138	JKL
Pk_ctg1_139	ET
Pk_ctg1_140	E
Pk_ctg1_141	F
Pk_ctg1_142	I
Pk_ctg1_143	P
Pk_ctg1_144	P
Pk_ctg1_145	EGP
Pk_ctg1_146	EG
Pk_ctg1_147	S
Pk_ctg1_148	M
Pk_ctg1_149	C
Pk_ctg1_150	S
Pk_ctg1_151	L
Pk_ctg1_152	H
Pk_ctg1_153	KQ
Pk_ctg1_154	G
Pk_ctg1_155	G
Pk_ctg1_156	F
Pk_ctg1_157	No_COG
Pk_ctg1_158	S
Pk_ctg1_159	G
Pk_ctg1_160	No_COG
Pk_ctg1_161	K
Pk_ctg1_162	No_COG
Pk_ctg1_163	G
Pk_ctg1_164	T
Pk_ctg1_165	S
Pk_ctg1_166	S
Pk_ctg1_167	S
Pk_ctg1_168	ET
Pk_ctg1_169	S
Pk_ctg1_170	S
Pk_ctg1_171	JKL
Pk_ctg1_172	EGP
Pk_ctg1_173	S
Pk_ctg1_174	S
Pk_ctg1_175	E
Pk_ctg1_176	C
Pk_ctg1_177	K
Pk_ctg1_178	U
Pk_ctg1_179	No_COG
Pk_ctg1_180	E
Pk_ctg1_181	P
Pk_ctg1_182	E
Pk_ctg1_183	E
Pk_ctg1_184	K
Pk_ctg1_185	No_COG
Pk_ctg1_186	S
Pk_ctg1_187	C
Pk_ctg1_188	S
Pk_ctg1_189	E
Pk_ctg1_190	K
Pk_ctg1_191	S
Pk_ctg1_192	S
Pk_ctg1_193	E
Pk_ctg1_194	S
Pk_ctg1_195	C
Pk_ctg1_196	C
Pk_ctg1_197	C
Pk_ctg1_198	C
Pk_ctg1_199	P
Pk_ctg1_200	C
Pk_ctg1_201	IQ
Pk_ctg1_202	E
Pk_ctg1_203	S
Pk_ctg1_204	E
Pk_ctg1_205	C
Pk_ctg1_206	E
Pk_ctg1_207	C
Pk_ctg1_208	E
Pk_ctg1_209	F
Pk_ctg1_210	E
Pk_ctg1_211	No_COG
Pk_ctg1_212	S
Pk_ctg1_213	K
Pk_ctg1_214	S
Pk_ctg1_215	I
Pk_ctg1_216	O
Pk_ctg1_217	K
Pk_ctg1_218	T
Pk_ctg1_219	V
Pk_ctg1_220	No_COG
Pk_ctg1_221	O
Pk_ctg1_222	No_COG
Pk_ctg1_223	S
Pk_ctg1_224	P
Pk_ctg1_225	PT
Pk_ctg1_226	K
Pk_ctg1_227	L
Pk_ctg1_228	T
Pk_ctg1_229	C
Pk_ctg1_230	E
Pk_ctg1_231	S
Pk_ctg1_232	F
Pk_ctg1_233	S
Pk_ctg1_234	H
Pk_ctg1_235	S
Pk_ctg1_236	H
Pk_ctg1_237	H
Pk_ctg1_238	S
Pk_ctg1_239	H
Pk_ctg1_240	H
Pk_ctg1_241	No_COG
Pk_ctg1_242	C
Pk_ctg1_243	P
Pk_ctg1_244	T
Pk_ctg1_245	I
Pk_ctg1_246	I
Pk_ctg1_247	K
Pk_ctg1_248	E
Pk_ctg1_249	S
Pk_ctg1_250	K
Pk_ctg1_251	S
Pk_ctg1_252	E
Pk_ctg1_253	S
Pk_ctg1_254	H
Pk_ctg1_255	H
Pk_ctg1_256	CO
Pk_ctg1_257	No_COG
Pk_ctg1_258	O
Pk_ctg1_259	S
Pk_ctg1_260	E
Pk_ctg1_261	K
Pk_ctg1_262	No_COG
Pk_ctg1_263	T
Pk_ctg1_264	K
Pk_ctg1_265	L
Pk_ctg1_266	J
Pk_ctg1_267	J
Pk_ctg1_268	I
Pk_ctg1_269	H
Pk_ctg1_270	H
Pk_ctg1_271	F
Pk_ctg1_272	S
Pk_ctg1_273	S
Pk_ctg1_274	T
Pk_ctg1_275	P
Pk_ctg1_276	T
Pk_ctg1_277	P
Pk_ctg1_278	J
Pk_ctg1_279	H
Pk_ctg1_280	M
Pk_ctg1_281	M
Pk_ctg1_282	S
Pk_ctg1_283	JM
Pk_ctg1_284	O
Pk_ctg1_285	S
Pk_ctg1_286	T
Pk_ctg1_287	K
Pk_ctg1_288	P
Pk_ctg1_289	E
Pk_ctg1_290	P
Pk_ctg1_291	P
Pk_ctg1_292	C
Pk_ctg1_293	G
Pk_ctg1_294	F
Pk_ctg1_295	E
Pk_ctg1_296	I
Pk_ctg1_297	EH
Pk_ctg1_298	F
Pk_ctg1_299	E
Pk_ctg1_300	H
Pk_ctg1_301	K
Pk_ctg1_302	O
Pk_ctg1_303	E
Pk_ctg1_304	H
Pk_ctg1_305	FG
Pk_ctg1_306	S
Pk_ctg1_307	S
Pk_ctg1_308	S
Pk_ctg1_309	S
Pk_ctg1_310	E
Pk_ctg1_311	P
Pk_ctg1_312	F
Pk_ctg1_313	M
Pk_ctg1_314	J
Pk_ctg1_315	No_COG
Pk_ctg1_316	H
Pk_ctg1_317	F
Pk_ctg1_318	No_COG
Pk_ctg1_319	J
Pk_ctg1_320	U
Pk_ctg1_321	K
Pk_ctg1_322	J
Pk_ctg1_323	J
Pk_ctg1_324	J
Pk_ctg1_325	J
Pk_ctg1_326	K
Pk_ctg1_327	K
Pk_ctg1_328	J
Pk_ctg1_329	J
Pk_ctg1_330	J
Pk_ctg1_331	J
Pk_ctg1_332	J
Pk_ctg1_333	J
Pk_ctg1_334	J
Pk_ctg1_335	J
Pk_ctg1_336	J
Pk_ctg1_337	J
Pk_ctg1_338	J
Pk_ctg1_339	J
Pk_ctg1_340	J
Pk_ctg1_341	J
Pk_ctg1_342	J
Pk_ctg1_343	J
Pk_ctg1_344	J
Pk_ctg1_345	J
Pk_ctg1_346	J
Pk_ctg1_347	J
Pk_ctg1_348	J
Pk_ctg1_349	J
Pk_ctg1_350	J
Pk_ctg1_351	J
Pk_ctg1_352	J
Pk_ctg1_353	U
Pk_ctg1_354	J
Pk_ctg1_355	J
Pk_ctg1_356	J
Pk_ctg1_357	K
Pk_ctg1_358	J
Pk_ctg1_359	C
Pk_ctg1_360	P
Pk_ctg1_361	L
Pk_ctg1_362	EGP
Pk_ctg1_363	L
Pk_ctg1_364	E
Pk_ctg1_365	S
Pk_ctg1_366	S
Pk_ctg1_367	S
Pk_ctg1_368	KT
Pk_ctg1_369	S
Pk_ctg1_370	Q
Pk_ctg1_371	K
Pk_ctg1_372	S
Pk_ctg1_373	S
Pk_ctg1_374	S
Pk_ctg1_375	I
Pk_ctg1_376	L
Pk_ctg1_377	S
Pk_ctg1_378	M
Pk_ctg1_379	L
Pk_ctg1_380	M
Pk_ctg1_381	M
Pk_ctg1_382	No_COG
Pk_ctg1_383	M
Pk_ctg1_384	S
Pk_ctg1_385	V
Pk_ctg1_386	V
Pk_ctg1_387	P
Pk_ctg1_388	No_COG
Pk_ctg1_389	O
Pk_ctg1_390	S
Pk_ctg1_391	S
Pk_ctg1_392	K
Pk_ctg1_393	H
Pk_ctg1_394	H
Pk_ctg1_395	H
Pk_ctg1_396	H
Pk_ctg1_397	K
Pk_ctg1_398	F
Pk_ctg1_399	I
Pk_ctg1_400	ET
Pk_ctg1_401	F
Pk_ctg1_402	No_COG
Pk_ctg1_403	P
Pk_ctg1_404	P
Pk_ctg1_405	H
Pk_ctg1_406	H
Pk_ctg1_407	L
Pk_ctg1_408	V
Pk_ctg1_409	L
Pk_ctg1_410	S
Pk_ctg1_411	S
Pk_ctg1_412	S
Pk_ctg1_413	S
Pk_ctg1_414	S
Pk_ctg1_415	S
Pk_ctg1_416	L
Pk_ctg1_417	T
Pk_ctg1_418	S
Pk_ctg1_419	L
Pk_ctg1_420	K
Pk_ctg1_421	C
Pk_ctg1_422	C
Pk_ctg1_423	I
Pk_ctg1_424	K
Pk_ctg1_425	E
Pk_ctg1_426	E
Pk_ctg1_427	E
Pk_ctg1_428	C
Pk_ctg1_429	KQ
Pk_ctg1_430	M
Pk_ctg1_431	H
Pk_ctg1_432	S
Pk_ctg1_433	GM
Pk_ctg1_434	C
Pk_ctg1_435	I
Pk_ctg1_436	S
Pk_ctg1_437	M
Pk_ctg1_438	S
Pk_ctg1_439	No_COG
Pk_ctg1_440	No_COG
Pk_ctg1_441	No_COG
Pk_ctg1_442	No_COG
Pk_ctg1_443	Q
Pk_ctg1_444	No_COG
Pk_ctg1_445	I
Pk_ctg1_446	L
Pk_ctg1_447	E
Pk_ctg1_448	H
Pk_ctg1_449	J
Pk_ctg1_450	J
Pk_ctg1_451	M
Pk_ctg1_452	M
Pk_ctg1_453	M
Pk_ctg1_454	M
Pk_ctg1_455	M
Pk_ctg1_456	S
Pk_ctg1_457	H
Pk_ctg1_458	H
Pk_ctg1_459	V
Pk_ctg1_460	M
Pk_ctg1_461	S
Pk_ctg1_462	L
Pk_ctg1_463	M
Pk_ctg1_464	J
Pk_ctg1_465	No_COG
Pk_ctg1_466	S
Pk_ctg1_467	M
Pk_ctg1_468	P
Pk_ctg1_469	J
Pk_ctg1_470	T
Pk_ctg1_471	J
Pk_ctg1_472	S
Pk_ctg1_473	S
Pk_ctg1_474	H
Pk_ctg1_475	H
Pk_ctg1_476	H
Pk_ctg1_477	T
Pk_ctg1_478	C
Pk_ctg1_479	F
Pk_ctg1_480	J
Pk_ctg1_481	S
Pk_ctg1_482	K
Pk_ctg1_483	No_COG
Pk_ctg1_484	P
Pk_ctg1_485	S
Pk_ctg1_486	L
Pk_ctg1_487	S
Pk_ctg1_488	S
Pk_ctg1_489	S
Pk_ctg1_490	S
Pk_ctg1_491	L
Pk_ctg1_492	K
Pk_ctg1_493	EG
Pk_ctg1_494	JKL
Pk_ctg1_495	S
Pk_ctg1_496	BQ
Pk_ctg1_497	J
Pk_ctg1_498	I
Pk_ctg1_499	S
Pk_ctg1_500	S
Pk_ctg1_501	S
Pk_ctg1_502	C
Pk_ctg1_503	C
Pk_ctg1_504	K
Pk_ctg1_505	S
Pk_ctg1_506	G
Pk_ctg1_507	EG
Pk_ctg1_508	G
Pk_ctg1_509	EG
Pk_ctg1_510	K
Pk_ctg1_511	E
Pk_ctg1_512	E
Pk_ctg1_513	No_COG
Pk_ctg1_514	S
Pk_ctg1_515	J
Pk_ctg1_516	S
Pk_ctg1_517	S
Pk_ctg1_518	S
Pk_ctg1_519	EGP
Pk_ctg1_520	C
Pk_ctg1_521	C
Pk_ctg1_522	S
Pk_ctg1_523	J
Pk_ctg1_524	K
Pk_ctg1_525	CH
Pk_ctg1_526	M
Pk_ctg1_527	C
Pk_ctg1_528	S
Pk_ctg1_529	O
Pk_ctg1_530	S
Pk_ctg1_531	T
Pk_ctg1_532	S
Pk_ctg1_533	S
Pk_ctg1_534	K
Pk_ctg1_535	K
Pk_ctg1_536	U
Pk_ctg1_537	E
Pk_ctg1_538	T
Pk_ctg1_539	S
Pk_ctg1_540	C
Pk_ctg1_541	J
Pk_ctg1_542	No_COG
Pk_ctg1_543	S
Pk_ctg1_544	S
Pk_ctg1_545	O
Pk_ctg1_546	No_COG
Pk_ctg1_547	No_COG
Pk_ctg1_548	S
Pk_ctg1_549	S
Pk_ctg1_550	G
Pk_ctg1_551	No_COG
Pk_ctg1_552	P
Pk_ctg1_553	H
Pk_ctg1_554	J
Pk_ctg1_555	J
Pk_ctg1_556	S
Pk_ctg1_557	E
Pk_ctg1_558	S
Pk_ctg1_559	J
Pk_ctg1_560	S
Pk_ctg1_561	H
Pk_ctg1_562	J
Pk_ctg1_563	M
Pk_ctg1_564	G
Pk_ctg1_565	IM
Pk_ctg1_566	NU
Pk_ctg1_567	NU
Pk_ctg1_568	NU
Pk_ctg1_569	NU
Pk_ctg1_570	NU
Pk_ctg1_571	NU
Pk_ctg1_572	NU
Pk_ctg1_573	E
Pk_ctg1_574	T
Pk_ctg1_575	T
Pk_ctg1_576	No_COG
Pk_ctg1_577	M
Pk_ctg1_578	J
Pk_ctg1_579	S
Pk_ctg1_580	O
Pk_ctg1_581	NT
Pk_ctg1_582	S
Pk_ctg1_583	C
Pk_ctg1_584	S
Pk_ctg1_585	S
Pk_ctg1_586	S
Pk_ctg1_587	S
Pk_ctg1_588	S
Pk_ctg1_589	S
Pk_ctg1_590	F
Pk_ctg1_591	NOU
Pk_ctg1_592	U
Pk_ctg1_593	NU
Pk_ctg1_594	NU
Pk_ctg1_595	S
Pk_ctg1_596	S
Pk_ctg1_597	M
Pk_ctg1_598	J
Pk_ctg1_599	M
Pk_ctg1_600	H
Pk_ctg1_601	F
Pk_ctg1_602	H
Pk_ctg1_603	H
Pk_ctg1_604	H
Pk_ctg1_605	H
Pk_ctg1_606	H
Pk_ctg1_607	T
Pk_ctg1_608	T
Pk_ctg1_609	S
Pk_ctg1_610	J
Pk_ctg1_611	T
Pk_ctg1_612	E
Pk_ctg1_613	S
Pk_ctg1_614	P
Pk_ctg1_615	P
Pk_ctg1_616	P
Pk_ctg1_617	P
Pk_ctg1_618	S
Pk_ctg1_619	T
Pk_ctg1_620	K
Pk_ctg1_621	S
Pk_ctg1_622	S
Pk_ctg1_623	M
Pk_ctg1_624	H
Pk_ctg1_625	S
Pk_ctg1_626	S
Pk_ctg1_627	H
Pk_ctg1_628	E
Pk_ctg1_629	EH
Pk_ctg1_630	I
Pk_ctg1_631	C
Pk_ctg1_632	C
Pk_ctg1_633	No_COG
Pk_ctg1_634	S
Pk_ctg1_635	S
Pk_ctg1_636	Q
Pk_ctg1_637	D
Pk_ctg1_638	S
Pk_ctg1_639	No_COG
Pk_ctg1_640	S
Pk_ctg1_641	K
Pk_ctg1_642	No_COG
Pk_ctg1_643	P
Pk_ctg1_644	S
Pk_ctg1_645	No_COG
Pk_ctg1_646	M
Pk_ctg1_647	O
Pk_ctg1_648	O
Pk_ctg1_649	I
Pk_ctg1_650	EGP
